LAST SEEN   TYPE      REASON                          OBJECT                                             MESSAGE
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-j8tr2             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-j8tr2             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-j8tr2             Started container adaptation-service
6m6s        Warning   FailedMount                     pod/adaptation-service-fc5f75457-j8tr2             MountVolume.SetUp failed for volume "adaptation-service-sa-token-vhhsk" : secret "adaptation-service-sa-token-vhhsk" not found
6m7s        Normal    Killing                         pod/adaptation-service-fc5f75457-j8tr2             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-jjpzc             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-jjpzc to aks-icaptestnode-10971123-vmss00002o
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-jjpzc             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-jjpzc             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-jjpzc             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-jjpzc             Started container adaptation-service
6m7s        Warning   FailedMount                     pod/adaptation-service-fc5f75457-jjpzc             MountVolume.SetUp failed for volume "adaptation-service-sa-token-vhhsk" : secret "adaptation-service-sa-token-vhhsk" not found
6m6s        Normal    Killing                         pod/adaptation-service-fc5f75457-jjpzc             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-jvspm             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-jvspm to aks-icaptestnode-10971123-vmss00001s
21m         Normal    Pulling                         pod/adaptation-service-fc5f75457-jvspm             Pulling image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Pulled                          pod/adaptation-service-fc5f75457-jvspm             Successfully pulled image "glasswallsolutions/icap-adaptation-service:main-1d8a40a"
21m         Normal    Created                         pod/adaptation-service-fc5f75457-jvspm             Created container adaptation-service
21m         Normal    Started                         pod/adaptation-service-fc5f75457-jvspm             Started container adaptation-service
6m7s        Normal    Killing                         pod/adaptation-service-fc5f75457-jvspm             Stopping container adaptation-service
21m         Normal    Scheduled                       pod/adaptation-service-fc5f75457-khdvn             Successfully assigned icap-adaptation/adaptation-service-fc5f75457-khdvn to aks-icaptestnode-10971123-vmss00000y
